name,title,company,bio,talk_title,country,photo_url,twitter,linkedin
Michael Theo Dülk,CEO & Co-Founder,opago,,,,,,
Michaël van de Poppe,CIO & Founder,MN Capital,,,,,,
Mick Morucci,Co-founder & CEO,Geyser,,,,,,
Mike Jarmuz,CEO,Lightning Ventures,,,,,,
Mike Lelieveld,Host,Bitcoin Alpha / Satoshi Radio,,,,,,
Mogashni Naidoo,UX Designer and Researcher,Bitcoin Design Foundation,,,,,,
Mohammed Bakhashwain,Founder & President,Bitzero blockchain inc,,,,,,
Nico Smid,Founder,Digital Mining Solutions,,,,,,
Niko Jilch,Founder,Binifico GmbH,,,,,,
Pascal Hügli,Investment Manager,Maerki Baumann (Archip),,,,,,
Patrick Liou,Director of Institutional,Gemini,,,,,,
Pat Riley,Design Director,BTC Inc,,,,,,
Paul,Co-Founder & Podcast Host,Bitcoin School,,,,,,
Paul Buitink,Managing Director,Holland Gold,,,,,,
Pedro,Designer,Bitcoin Conference,,,,,,
Peng Li,Marketing Manager,BITDEER,,,,,,
Peter Slagter,Host,Satoshi Radio / Bitcoin Alpha,,,,,,
Pieter,Enthusiast,Meshtastic Workshop,,,,,,
Rational Root,On-Chain & Cycle Analyst,(Self),,,,,,
René Pickhardt,Lightning Network Open Source Researcher,OpenSats Grantee,,,,,,
Robert Harrison,"Managing Director, Investments and Legal",Yorkville Advisors,,,,,,
Robin Linus,Project Lead,ZeroSync,,,,,,
Robin Seyr,Founder & Host,The Robin Seyr Podcast,,,,,,
Roy Sheinfeld,CEO,Breez,,,,,,
Russel Coultart,Bitcoin Advisor,Self,,,,,,
Sadiq Jaffer,"Senior Manager, Consulting",KPMG,,,,,,
Sadri Sali,EU Blockchain Lawyer - Managing Partner,SALI BLOCKCHAIN & CRYPTO REGULATIONS LTD,,,,,,
Samuel Kullmann,"Member of Parliament, Canton Berne",Federal Democratic Union,,,,,,
Sam Wouters,Director of Marketing,River,,,,,,
Sander Andersen,Chairman & Co-Founder,H100 Group AB,,,,,,
Sebastian Hagens,Creative webdeveloper,Sebastix,,,,,,
Sebastien Hess,CEO,Future,,,,,,
Sergi Delgado,Engineer,2140,,,,,,
Shinobi,Technical Editor,Bitcoin Magazine,,,,,,
Simon Lelieveldt,Director,Lelieveldt Regulatory Consultancy,,,,,,
Sjors Provoost,Developer,Bitcoin Core,,,,,,
Stafford Masie,Executive Chairman & Director of Bitcoin Strategy,Africa Bitcoin Corporation,,,,,,
Steef,Meshtastic,Meshtastic,,,,,,
