name,title,company,bio,talk_title,photo_url,twitter,linkedin,nostr,github,website
Allen Farrington,,,,,https://btcpp.nyc3.digitaloceanspaces.com/speakers/allenf.jpg,https://x.com/allenf32,,https://njump.me/npub1sfhflz2msx45rfzjyf5tyj0x35pv4qtq3hh4v2jf8nhrtl79cavsl2ymqt,,
Dhananjay Purohit,,ngx_l402,,,https://btcpp.nyc3.digitaloceanspaces.com/speakers/4bd869358ac0-400.avif,https://x.com/DhananjayPuroh,,https://njump.me/npub1qnw27f2jsqvn05wzpd56m7ykgmepk57p0yrzw8fzc7lfhjkmjmqqmd9r6h,https://github.com/DhananjayPurohit,
ek,,independent,,,https://btcpp.nyc3.digitaloceanspaces.com/speakers/b04dfa1b9859.jpg,,,,https://github.com/ekzyis,https://ekzy.is/
Jesse Shrader,,,,,https://btcpp.nyc3.digitaloceanspaces.com/speakers/jestopher.png,https://x.com/Jestopher_BTC,,https://njump.me/npub18yvpnchj7yaepjk8yz2pn66hfmmup505aqvx0lpyc3aree0g5fyq8clpz3,,https://amboss.tech/
Walter Maffione,,KaleidoSwap,,,https://btcpp.nyc3.digitaloceanspaces.com/speakers/24afd04cf783-400.avif,https://x.com/bit_walt,,https://njump.me/npub1uezd5f0czgdlkru5qfnv0v03a8uwmzxryg2sjvjzd732k3wfphyslwadkc,https://github.com/bitwalt,
