name,title,company,bio,talk_title,photo_url,twitter,linkedin
Anthony Rodriguez,Co-Founder,Digital Spenders Club,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e618044a3065c96d5e40cd_AnthonyRodrigez_HEAD%201.png,,
Annelise Osborne,Chief Business Officer,Kadena,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb692c353bbe8d9bbd0_684c58e0eb48f977c3ea08c8_Annelise%2520Osborne.jpeg,,
André Beganski,Staff Reporter,Decrypt,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc2fcc03f246c226e11943_Andre%CC%81Beganski_HEAD%201.png,,
Erai Beckmann,Founding Partner,Peace Through Trade Blockchain (PTT COIN),,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb76e143d3e0178a644_67f521c6f61032a83be40648_EraiBeckmann_HEAD%25201.png,,
James Slusser,"Senior Ambassador, Polkadot","Founder, Kurkuma",,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eebb82f3ad1cd2b98486_67b75decbc44578bb6331687_GraemeMoore_HEAD%25201.png,,
Oliver Maroney,Head of Business Development & Partnerships,OpenSea,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cd57c43f86adf324399a6c_OliverMaroney_HEAD.jpeg,,
Gabriel Sadoun,Head of Business Development,DigiShares,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e61ba719432fa9b22082e5_gabrielsadoun_head_720.jpg,,
Toufi Saliba,CEO & Co-Author,HyperCycle.ai,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/685d51417ddf4d798bd1e3a0_ToufiSaliba_HEAD.webp,,
Warren Calove,Co-Founder & CEO,Go Arlo,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/67f40bfe330c94e1c090b86f_WarrenCalove_HEAD.jpeg,,
Yolanda,Chief Security Architect,Coinbase,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dacd17cc6ee9f794d6ee8d_68a5eb1daa71806f26acf3ed_YolandaLiu_HEAD.png,,
Tyler Spalding,President,Acronym Foundation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68ebb17688fc606920eb4bde_TylerSpalding_HEAD.jpeg,,
Scott Spiegel,Founder & CEO,BitBasel,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68810f3f6a2e8610d6b74177_ScottSpiegel_HEAD.jpeg,,
Jorrin Bruns,Developer Relations Engineer,Algorand Foundation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6881146369ce48844938f496_JorrinBruns_HEAD.jpeg,,
Rohan Handa,"Head of Investments & Partnerships, AI",Mysten Labs,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8abc7d8c7f515c21fddf8_802ac844-2e00-4d77-9c5c-53b716d38511.jpg,,
Scarlett Arana,Co-Founder,BitBasel,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/688121329f22018419bd9a82_ScarlettArana_HEAD.jpg,,
Michael Ros,CEO,Sleap.io,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68812c10cb14096ab73a6ef9_MichaelRos-dark_HEAD.jpeg,,
Trevor Koverko,Co-Founder,Sapien,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68812ba9a1eee5863685a63d_TrevorKoverko_HEAD.JPG,,
Wiliam Quigley,Co-Founder,Tether and WAX (Worldwide Asset eXchange),,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68f9a7b30b914b638efc5507_WilliamQuigley_HEAD.jpg,,
My Name Is Mudd,DAO Member,K9 Finance,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6895f843233d27a7f1d38d11_CodyCrum_HEAD.jpg,,
Adam Garetson,Partner,Gowling WLG,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6852eeb7ee828cf78ee9c8e7_679bb0401b143d87011ca678_AdamGaretson_HEAD.webp,,
Rok Kopp,Co-Founder,ether.fi,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/6904ceecaa14afde470fc9d6_RokKopp_HEAD.jpg,,
Justin Barlow,Executive Director,Sei Development Foundation,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68a8587f70e795d0b620eb21_JustinBarlow_HEAD.png,,
Francky Perez,COO,Quantum,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68cc1ec446817afd2470115a_FranckyPerez_HEAD.jpeg,,
Andrew Stone,Lead Developer,Nexa: Bitcoin Unlimited,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68e7f30a0f6aaa3369dd4681_andrewstone_head_720%201.png,,
Haymond Rankin,Associate Director,Cayman Finance,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfd6c21590cdfa5f4ad437_HaymondRankin_HEAD%201.png,,
Lennon Sweeting,Managing Director,RYKI Ltd.,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfd8697857d2aa8e2ce5e7_LennonSweeting_HEAD%201.png,,
Chantelle Day,Partner,Collas Crill,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfd937a807bb291cb6422d_ChantelleDay_HEAD.jpg,,
Mario Yaksetig Costa,Director,BitFashioned SEZC,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfda06221b3c1de34fa603_MarioYaksetigCosta_HEAD%201.png,,
Jamie Roberts,Associate Director,Leeward,,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/68dfe335a69bb3e697b5ea1f_JamieRoberts_HEAD%201.png,,
