name,title,company,category,event
Todd Shapiro,"Co-Founder, CEO & Director",Red Light Holland,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Carlo Campisi,Head of Policy,Shakepay,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Koleya Karringten,Executive Director,Canadian Bitcoin Consortium,Toronto 2026,Blockchain Futurist Conference Toronto 2026
"Maximillian ""M"" Schwartz",CEO,Anvil Research Labs,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jillian Friedman,Chief Operating Officer,Symbiotic,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Joseph Iuso,Co-Founder CAMLO; Head of Global Regulatory Affairs KYC2020,CAMLO / KYC2020,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Rob Goldstein,"Senior Operating Advisor, Strategic Partnerships and Growth",Travls.io,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Morva Rohani,Executive Director,Canadian Web3 Council,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jeffrey Gregor,General Manager,OVHcloud,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ty Henwood,Founder & CEO,Intrface,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Arman Mamyan,Integration Lead,Animoca Brands,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Amanda Wick,Head of Americas,VerifyVASP,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Matt Franchi,Founder,The Bar Toronto Inc.,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jason Brett,Senior Contributor,Forbes; Founder Ben Franklin Digital Reserve,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Michael Terpin,Founder & CEO,Transform Ventures,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Leah McCarthy,Content Creator,Doginal Dogs / CSN,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Christopher Chen,Head,Invest Hong Kong Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Christian Lewe,Research Engineer,Alpen Labs,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Adilah Holivay,CEO,Association for Women in Cryptocurrency,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Hamed Faqirzai,VP of Global Development,Luna PR,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Sam Amsterdam,Founder,Amsterdam Group Public Relations,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Gina Antoniello,NYU Professor; Chair of the Board,SafeBets,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Edward Johnson,Chief Product Officer,Autheo,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Marcello Valente,Huddle Leader,Pudgy Canada,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ganna Vitko,President of Canada Chapter,Association for Women in Crypto,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Peter von Irle,Co-Founder & Managing Partner,Sullivan Hart LLP,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Kyle Karasz,Founder & Developer,Blast Wheels,Toronto 2026,Blockchain Futurist Conference Toronto 2026
"Regan McGrath, CPA, CA",CEO,Metrics CPA,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Josh Weiss,Global Head of Sales,Utila,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Mackenzie Hobbs,CEO,Blast Wheels,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Rosalyn Brown,"Tokenization, Luxury Real Estate and Property Technology",Berkshire Hathaway Bahamas,Toronto 2026,Blockchain Futurist Conference Toronto 2026
"Alexander Radu, H.B.Sc., LL.B.",Law Student,Blair Law Firm,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Rod Warren,Owner & Operations Manager,Crypto Records,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Zachary Nelson,CEO & Co-Founder,Genzio,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Tristan Schroeder,"Founder, CEO",Tokenized Financial and IHodlLife,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Ashley Wright,Founder,The Crypto Strategy Academy,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Armando Pantoja,Financial Futurist & Best Selling Author,,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jorrin Bruns,Head of Developer Engagement & Integrations,Algorand Foundation,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Lalla Asmaa Alaoui,CEO HelloAgentic.ai; Founder Agentic Day,HelloAgentic.ai,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Jay Rogers,CEO,Infineo,Toronto 2026,Blockchain Futurist Conference Toronto 2026
Mitchell DiRaimondo,Co-Founder,SteelWave Digital,Toronto 2026,Blockchain Futurist Conference Toronto 2026
