name,org,track,social
NASSIM ALEXANDRE,BELEM CAPITAL AND ROCKAWAYX,DeFi,https://www.linkedin.com/in/nassim-a-601309127/
HARRY HORSFALL,FLIGHT3,Product & Marketers,https://linkedin.com/in/harryhorsfall?originalSubdomain=uk
KASRA KHOSRAVI,GOLDSKY (AND ALSO ERPC OPEN-SOURCE),Built on Ethereum,https://x.com/kasrakhosravi
PRANAY VALSON,COVALENTHQ.COM,Research,https://x.com/n0slav
NORBERT VADAS,ZENITH,RWA Tokenisation,https://www.linkedin.com/in/norbert-vadas-1b32b9242/
LUKE YOUNGBLOOD,MOONWELL,AI Agents and Automation,https://x.com/LukeYoungblood
ANNE-GRACE KLECZEWSKI,MME LEGAL,Regulation & Compliance,https://www.linkedin.com/in/anne-grace-kleczewski-789baa81/
PATRICK HANSEN,CIRCLE,Stablecoins & Global Payments,https://www.linkedin.com/in/patrickghansen/
GRIFF,THEDAO SECURITY FUND & GIVETH,Security,https://x.com/griffgreen
YANIS MEZIANE,ETHEREUM FOUNDATION,Applied cryptography,"https://x.com/yanis_mezn,%20github.com/MeYanis95"
MICHAEL WU,AMBER GROUP,RWA Tokenisation,https://www.linkedin.com/in/michael-w-8583a820/
JAN GORZNY,ZIRCUIT,Research,https://x.com/jgorzny
MARIIA YATSKOVSKA,COW DAO,DeFi,https://www.linkedin.com/in/mariia-yatskovska-%F0%9F%92%A1-17b35882/
DAVID MÜHLBACHER,STEREUM SERVICES FLEXCO,Research,https://x.com/stereumdev
ARMAN SARHADDAR,IVAULT,Built on Ethereum,https://linkedin.com/in/arman-sarhaddar-70784a95
MONA EL ISA,AVANTGARDE FINANCE,DeFi,https://x.com/Mona_El_Isa
TOM DAVID,IEXEC,Zero Tech & TEE,https://x.com/tomm7y
ECE ORSEL,HACKEN,Security,https://x.com/lopatsi
QI ZHOU,QUARKCHAIN,Research,https://x.com/qc_qizhou
HE WHO REMAINS,SWARMS,AI Agents and Automation,https://x.com/KyeGomezB
ANTHONY CARAVELLO,SHUTTER NETWORK,Product & Marketers,https://x.com/acaravello
LASZLO SZABO,KILN,DeFi,https://www.linkedin.com/in/laszlo-szabo-/
BEN FISCH,ESPRESSO SYSTEMS,Layer 2s,https://x.com/benafisch
SIMONA POP,ANGEL INVESTOR & ADVISOR AT LARGE,I don't know where I fit,"https://x.com/Sim_Pop,%20https://farcaster.xyz/simonapop"
