id,name,slug,tier,edition,tier_raw,description,website,logo_url,logo_alt,createdAt,updatedAt,publishedAt
84,Cometh,cometh,Wagmi,EthCC[8],EthCC[8] Wagmi,"One API to integrate DeFi custody, staking, trading and payments. Enterprise-grade compliance, Web3 flexibility.",https://cometh.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/cometh_logo_booth_708fc83055.svg,,2025-05-26T11:58:51.101Z,2025-06-04T08:44:53.303Z,2025-05-26T11:58:51.827Z
85,Monerium,monerium,Wagmi,EthCC[8],EthCC[8] Wagmi,"Monerium is bringing regulated fiat currency to the blockchain, where everything of value will be stored and transacted. A true programmable digital regulated e-money.",https://monerium.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/monerium_logo_34d9c308c9.svg,,2025-05-27T18:31:00.659Z,2025-06-13T17:48:05.648Z,2025-05-27T18:31:26.042Z
86,Starknet Foundation,starknet-foundation,Wagmi,EthCC[8],EthCC[8] Wagmi,"The Starknet Foundation stewards the growth and development of the Starknet ecosystem by providing the tools, resources, and support needed to create transformative solutions.",https://www.starknet.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/SNF_Linear_Mono_Light_43ac908611.png,,2025-05-28T07:01:56.679Z,2025-06-04T08:46:14.267Z,2025-05-28T07:01:57.864Z
88,TAC,tac,Wagmi,EthCC[8],EthCC[8] Wagmi,"""TAC is a purpose-built blockchain for EVM dApps to access TON and Telegram Ecosystem’s 1B+ user base.""",https://tac.build/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/TAC_Logo_Horizontal_Dark_c91f3cf72b.svg,,2025-05-28T14:35:27.284Z,2025-06-04T08:45:29.334Z,2025-05-28T14:35:30.852Z
92,Google Cloud,sponsor,Wagmi,EthCC[8],EthCC[8] Wagmi,Empowering the next generation of decentralised applications and services by helping developers and businesses build and scale in the Web3 space.,https://cloud.google.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Google_Cloud_49acb4e734.svg,,2025-06-05T11:03:23.485Z,2025-06-06T10:49:39.214Z,2025-06-05T11:03:24.973Z
97,Global Ledger,sponsor-5,Wagmi,EthCC[8],EthCC[8] Wagmi,"Effortless AML compliance that matches DeFi speed: real-time monitoring, risk scoring, alerts, and zero-fuss reporting.",https://www.globalledger.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/logo_1_6d42208b39.svg,,2025-06-11T22:52:20.522Z,2025-06-13T17:46:35.491Z,2025-06-11T22:52:21.577Z
99,Crypto.com,sponsor-7,Wagmi,EthCC[8],EthCC[8] Wagmi,The world’s premier Crypto trading platform. Get up to 1 BTC worth of rewards when you start trading. ,https://crypto.com/eea,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Full_Colour_Horizontal_aaa51ddec4.png,,2025-06-20T11:02:09.707Z,2025-06-20T11:02:10.439Z,2025-06-20T11:02:10.436Z
101,Tron,sponsor-9,Wagmi,EthCC[8],EthCC[8] Wagmi," TRON is the most trusted network for developers, institutions, and individuals worldwide.",https://trondao.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/TRON_Logo_Colored_Black_369ac7a421.svg,,2025-06-23T23:30:53.636Z,2025-06-23T23:30:54.608Z,2025-06-23T23:30:54.605Z
102,Mento,sponsor-10,Wagmi,EthCC[8],EthCC[8] Wagmi,The Place for Onchain FX,https://www.mento.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/mento_logo_dark_6c170c8a95.png,,2025-06-24T09:45:25.367Z,2025-06-24T09:45:26.490Z,2025-06-24T09:45:26.487Z
103,Zivoe,sponsor-11,Wagmi,EthCC[8],EthCC[8] Wagmi,Earn sustainable yield from real-world consumer credit.,https://www.zivoe.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Zivoe_Logo_Color_Dark_4x_fd933d28b1.png,,2025-06-24T18:11:50.753Z,2025-06-24T18:11:52.419Z,2025-06-24T18:11:52.416Z
143,BeInCrypto,sponsor-47,Media Partners,EthCC[9],Media Partners,,https://beincrypto.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Be_In_Crypto_logo_logo_6b53442203.png,,2026-02-23T18:04:34.584Z,2026-02-23T18:04:36.082Z,2026-02-23T18:04:36.076Z
144,Cointelegraph,sponsor-48,Media Partners,EthCC[9],Media Partners,,https://cointelegraph.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/CT_logo_Black_Yellow_tag_1_d9ed089816.png,,2026-02-23T18:09:44.232Z,2026-02-23T18:09:46.201Z,2026-02-23T18:09:46.198Z
145,DL News,sponsor-49,Media Partners,EthCC[9],Media Partners,,https://www.dlnews.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/unnamed_4e4e9829c5.png,,2026-02-23T18:11:07.176Z,2026-02-23T18:11:08.166Z,2026-02-23T18:11:08.145Z
146,The Defiant,sponsor-50,Media Partners,EthCC[9],Media Partners,,https://thedefiant.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/The_Defiant_RGB_Rectangle1_L_Black_4x_b5717c56d1.png,,2026-02-23T18:14:00.417Z,2026-02-23T18:14:33.334Z,2026-02-23T18:14:02.099Z
154,CCN,sponsor-58,Media Partners,EthCC[9],Media Partners,,https://www.ccn.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/image_2026_01_27_10_34_19_5a4ec9f4e3.png,,2026-03-01T17:45:07.508Z,2026-03-01T17:45:09.531Z,2026-03-01T17:45:09.527Z
155,The Block,sponsor-59,Media Partners,EthCC[9],Media Partners,,https://www.theblock.co/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/TB_Logo_Black_2322cc2730.png,,2026-03-01T17:52:55.337Z,2026-03-02T14:07:29.182Z,2026-03-01T17:52:56.525Z
141,Wildcat,sponsor-45,Pearl,EthCC[9],Pearl,"Wildcat turns private credit public, on-chain. Bringing undercollateralized credit markets to Ethereum with configurable terms.",https://wildcat.finance/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Logo_svg_b8c5e3de38.svg,,2026-02-17T17:10:03.302Z,2026-02-17T17:10:05.772Z,2026-02-17T17:10:05.768Z
147,POAP,sponsor-51,Pearl,EthCC[9],Pearl,POAP helps issuers make digital collectibles for life's precious moments.,https://poap.xyz/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/LOGO_POAP_RGB_72dpi_500_0361d1d501.png,,2026-02-24T18:14:32.828Z,2026-02-24T18:14:33.929Z,2026-02-24T18:14:33.923Z
153,Zerobase Pro,sponsor-57,Pearl,EthCC[9],Pearl," Proving Network for Real Yield
",https://zerobase.pro/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Main_Type_blue_ac7e881a13.svg,,2026-03-01T17:33:37.179Z,2026-03-01T18:30:45.751Z,2026-03-01T17:33:38.163Z
161,Safe,sponsor-64,Pearl,EthCC[9],Pearl,Multisig Wallet & Smart Account Ecosystem .,https://safefoundation.org/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/SAFE_3fbebb0afb.png,,2026-03-06T18:47:40.562Z,2026-03-06T18:47:41.948Z,2026-03-06T18:47:41.945Z
168,Galxe,sponsor-71,Pearl,EthCC[9],Pearl,The leading web3 growth platform. ,https://www.galxe.com/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Galxe_Black_28587bcbc9.png,,2026-03-09T13:30:15.963Z,2026-03-09T13:30:17.137Z,2026-03-09T13:30:17.134Z
170,Brevis,sponsor-73,Pearl,EthCC[9],Pearl,"Brevis is a verifiable computing platform powered by zero-knowledge proofs, serving as the infinite compute layer for Web3. Applications can offload expensive computations off-chain while proving every result on-chain.",https://brevis.network/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/dark_text_horizontal_b5f244e2e1.png,,2026-03-09T23:59:56.800Z,2026-03-09T23:59:57.726Z,2026-03-09T23:59:57.723Z
173,E Toro,sponsor-76,Pearl,EthCC[9],Pearl,"eToro — the social investing platform to trade crypto, stocks and ETFs and copy top investors worldwide.",https://go.etoro.com/en/deposit/200-get-50-EthCC?utm_medium=Affiliate&utm_source=128693&utm_content=22266&utm_serial=&utm_campaign=&utm_term=,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/100x33_1_6d8855ddcf.png,,2026-03-11T19:20:29.541Z,2026-03-13T11:46:27.467Z,2026-03-11T19:20:30.408Z
176,Stand With Crypto,sponsor-79,Pearl,EthCC[9],Pearl,The grassroots voice of crypto in the EU.,https://www.standwithcrypto.org/eu/fr,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/SWC_EU_Logo_d9da22b95a.png,,2026-03-12T19:05:58.302Z,2026-03-12T19:05:59.199Z,2026-03-12T19:05:59.197Z
177,Sigma,sponsor-80,Pearl,EthCC[9],Pearl,Solutions for a secure & decentralised world.,https://sigmaprime.io/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/sigp_full_logo_black_df1ae6f260.png,,2026-03-12T19:09:47.100Z,2026-03-12T19:09:47.943Z,2026-03-12T19:09:47.939Z
178,Cropr,sponsor-81,Pearl,EthCC[9],Pearl,The all-in-one DeFi aggregator to simplify and grow your portfolio - across chains and wallets.,https://www.cropr.finance/,https://s3.eu-west-3.amazonaws.com/content.ethccweek.fr/Full_logo_duo_on_light_2x_db80f2ab24.png,,2026-03-12T19:18:58.497Z,2026-03-12T19:18:59.480Z,2026-03-12T19:18:59.477Z
