name,tier,website_url,logo_url,prize_description
World,Prize Sponsor,https://world.org,,"$20,000 — Every human benefits from the age of AI. Distinguish between humans and AI online. Access universally inclusive finance."
1inch,Prize Sponsor,https://1inch.com,,"$20,000 — Unified DeFi ecosystem, built around the DEX aggregator with the best swap rates, offering developer APIs across 12+ chains."
Uniswap Foundation,Prize Sponsor,https://uniswapfoundation.org,,"$15,000 — Works to advance DeFi by providing critical support for protocol innovation, developer success, and governance empowerment."
Arkiv,Prize Sponsor,https://arkiv.network,,"$15,000 — A permissionless and trustless data layer; aims to empower data autonomy for everyone as a global backbone for data autonomy."
ENS,Prize Sponsor,https://ens.domains,,"$10,000 — The universal pointer for anything on the internet; domain naming service for the Ethereum ecosystem."
