name,tier,website_url,logo_url,description
Gen3,Silver & Bronze,http://gen3mag.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d6eda7412b1b59ee58_gen3.png,
Official Crypto Nostra,Silver & Bronze,https://officialcryptonostra.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d8d27a0fe234a663ae_official%20crypto%20nostra.png,
EVERY.MEME,Silver & Bronze,https://every.meme/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d68621b50868b79466_every%20meme.png,
Berkshire Hathaway HomeServices,Silver & Bronze,https://www.bhhsb.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f5c48d0decdd9736da077e_berkshire.png,
Diamond Lake Minerals,Silver & Bronze,https://diamondlakeminerals.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f5c48d5bbc1be1b66c79db_diamondlake.png,
Sarson Funds,Silver & Bronze,https://sarsonfunds.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68eed6642050fa9ea5c3d8ba_sarson%20funds.png,
Sadis & Goldberg,Silver & Bronze,http://sadis.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68c6f576fa9f9797d7cb089b_sadis.png,
Hardfork Media,Silver & Bronze,https://www.hardfork.media/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68d401a0bf082fac40eb42d6_hardfork.png,
Melrose PR,Silver & Bronze,https://www.melrosepr.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67e6b7c77e77bb6c6c70cb8e_melrose.png,
DegenSafe,Silver & Bronze,https://degensafe.fun,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68d4014e1a1e4ec238b64740_degensafe.png,
Purple Horizons,Silver & Bronze,https://purplehorizons.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68712e4c4441cc43a4544e31_purple%20horizons.png,
BitBasel,Silver & Bronze,https://www.bitbasel.miami/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/687fb6ac1f7e1079723f2517_BITBASEL.png,
Luna PR,Silver & Bronze,https://www.lunapr.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68adbb6b398b02bd08e33f60_luna.png,
Doginal Dogs,Silver & Bronze,https://www.doginaldogs.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68b0be5417937c5c123aea26_doginal%20dogs.png,
MarketAcross,Silver & Bronze,https://marketacross.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67d74281f20915107b7d1206_market%20across.png,
Chainwire,Silver & Bronze,https://chainwire.org/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6900d6d6b536020b73378bbd_Chin%20wire.png,
Women in Crypto,Silver & Bronze,http://womenincrypto.org/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6814df99e61c476453473ad8_wc.png,
Kadena,Silver & Bronze,https://www.kadena.io/leadership/annelise-osborne,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc6468837f1b8e9b5bc4d4_kadena.png,
Shiro Neko,Silver & Bronze,https://www.shironeko.gg/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/6898aa696722a09433b7f4f1_shiro.png,
Go Arlo,Copper,http://goarlo.ai/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68d448559c3825d6034c3dcd_arlo.png,
DigiShares,Copper,http://digishares.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68e3fff40d38b7e014ab920a_digishares.png,
The Rider Residences,Copper,https://residencesinmiami.com/the-rider-residences/?gad_source=1&gad_campaignid=22883482025&gbraid=0AAAAABdXRnehSf4LXlO_Jyv9P6fcN_I9t&gclid=Cj0KCQjwqqDFBhDhARIsAIHTlktJViGp5DXoZrjFFZXoLuiCIPcs4tH7PlqZivktvUiD0JndzJkGR_IaAvs-EALw_wcB,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68ab23d1f4b4ec0e918af431_the%20rider.png,
Pledge Protocol,Copper,https://www.pledgeprotocol.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/67f80e2318520d9c6f328bf0_pledge%20protocol.png,
Blaer,Copper,http://blaer.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68f83e2481d74e2239e01be2_blaer.png,
InOrbyt,Copper,http://inorbyt.io/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc67f5bb1c4c133e3d6ae6_inorbyt.png,
SpearTrades,Copper,http://speartrades.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc67f5d59db681895d4284_speartrades.png,
K9 Finance,Copper,https://www.k9finance.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68ab1e9383e14b898cb3333c_k9%20finance.png,
Hakflow,Copper,https://hakflow.com,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68d4035194417c16116eabf8_hakflow.png,
NoIDPay,Copper,https://noidpay.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68cc67f5661709f15c505117_noidpay.png,
Bitcoin Butik,Copper,https://bitcoinbutik.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68ab210f95c2d0f853acfd62_Bitcoin%20Butik.png,
DiscoCat,Copper,https://discocat.com/,https://cdn.prod.website-files.com/61e8788db85eabd9f0305f67/68e3f782e468f6fc67e35e4d_discocat.png,
