record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Brant Frank,Co-Founder,Trusted Smart Chain,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-brant-frank
Speaker,Lindsay Fraser,Chief Policy Officer,The Blockchain Association,,,No,lindsayfraser0,https://www.linkedin.com/in/lindsay-fraser2/,,https://consensus.coindesk.com/agenda/speaker/-lindsay-fraser
Speaker,Brent Fulfer,Co-Founder & General Partner,TBV,,,No,brent_fulfer,https://www.linkedin.com/in/brent-fulfer/,https://tbv.xyz,https://consensus.coindesk.com/agenda/speaker/-brent-fulfer
Speaker,Lorien Gabel,Co-Founder & CEO,Figment,,,No,lorientree,https://www.linkedin.com/in/loriengabel/,https://figment.io/,https://consensus.coindesk.com/agenda/speaker/-lorien-gabel
Speaker,Gabriele Galli,"SVP of Sales, BD and Partnerships",Mesh,,,No,ggallixyz,https://www.linkedin.com/in/gabrielegalliprofile/,meshpay.com,https://consensus.coindesk.com/agenda/speaker/-gabriele-galli
Speaker,Jamie Gill,Senior Vice President,Luxor Technology,,,No,,www.linkedin.com/in/jgill42/,luxor.tech,https://consensus.coindesk.com/agenda/speaker/-jamie-gill
Speaker,Tim Grant,CEO,Deus X Capital,,,No,,https://www.linkedin.com/in/tim-j-grant/,www.deusx.capital,https://consensus.coindesk.com/agenda/speaker/-tim-grant
Speaker,Catherine Gu,"Head of Product, Digital Assets",Solana Foundation,,,No,,https://www.linkedin.com/in/wcgu/,,https://consensus.coindesk.com/agenda/speaker/-catherine-gu
Speaker,Tamara Haasen,President,Input | Output (IO),,,No,InputOutputHK,https://www.linkedin.com/in/tamarahaasen/,https://iohk.io/,https://consensus.coindesk.com/agenda/speaker/-tamara-haasen
Speaker,Steven Haft,Head of Global Partnerships,Consensys,,,No,OGShaft1,https://www.linkedin.com/in/stevenhaft,,https://consensus.coindesk.com/agenda/speaker/-steven-haft
Speaker,Jesse Hamilton,"Deputy Managing Editor, Global Policy & Regulation",CoinDesk,,,No,Jesseahamilton,Jesseahamilton,,https://consensus.coindesk.com/agenda/speaker/-jesse-hamilton
Speaker,Ron Hammond,Head of Policy and Advocacy,Wintermute,,,No,ronwhammond,https://www.linkedin.com/in/ron-hammond-38ab8a3a/,,https://consensus.coindesk.com/agenda/speaker/-ron-hammond
Speaker,Peter Hans,Partner,Hack VC,,,No,peterhansVC,https://www.linkedin.com/in/peter-hans-5126724/,https://www.hack.vc/,https://consensus.coindesk.com/agenda/speaker/-peter-han
Speaker,Myles Harrison,Chief Product Officer,AMINA Bank,,,No,mylesharrison89,,www.aminagroup.com,https://consensus.coindesk.com/agenda/speaker/-myles-harrison
Speaker,Richard  Harrison,"VP, Banking and Payment Partnerships",MoonPay,,,No,,linkedin.com/in/richardharrison1,https://www.moonpay.com/en-gb,https://consensus.coindesk.com/agenda/speaker/-richard-harrison
Speaker,Mike Harvey,Head of Franchise Trading,Galaxy,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-jason-urban
Speaker,Ray Hernandez,"Sr VP, Business Development",Consensys,,,No,,https://www.linkedin.com/in/ray-hernandez/,https://consensys.io/,https://consensus.coindesk.com/agenda/speaker/-ray-hernandez
Speaker,Chris Hewish,President,Xsolla,,,No,,https://www.linkedin.com/in/chrishewish/,,https://consensus.coindesk.com/agenda/speaker/-chris-hewish
Speaker,Jim Hiltner,"Co-Founder, Head of Business Development",Superstate,,,No,@HiltnerJim,,,https://consensus.coindesk.com/agenda/speaker/-jim-hiltner
Speaker,Rep. Steven Horsford,Congressman,US House of Representatives,,,No,RepHorsford,,https://horsford.house.gov/,https://consensus.coindesk.com/agenda/speaker/-rep-steven-horsford
Speaker,Hunter Horsley,Co-Founder & CEO,"Bitwise Asset Management, Inc.",,,No,HHorsley,https://www.linkedin.com/in/hunter-horsley-11512721/,https://bitwiseinvestments.com/,https://consensus.coindesk.com/agenda/speaker/-hunter-horsley
Speaker,Mike Horton,Project Creator,GEODNET,,,No,mikeahorton,mikeahorton,https://geodnet.com/,https://consensus.coindesk.com/agenda/speaker/-mike-horton
Speaker,Carole House,CEO (Former White House Special Advisor),Penumbra Strategies,,,No,,https://www.linkedin.com/in/carole-house-47471a40,,https://consensus.coindesk.com/agenda/speaker/-carole-house
Speaker,Paul Hsu,Founder & CEO,Decasonic,,,No,paulhsu,paulhsu,,https://consensus.coindesk.com/agenda/speaker/-paul-hsu
Speaker,Andrew Hughes,VP of Global Standards,"FaceTec, Inc",,,No,,,www.facetec.com,https://consensus.coindesk.com/agenda/speaker/-andrew-hughes
Speaker,"Simeon Hyman, CFA",Global Investment Strategist,ProShares,,,No,ProShares,ProShares,www.proshares.com,https://consensus.coindesk.com/agenda/speaker/-simeon-hyman
Speaker,Augie Ilag,"Partner, Head of Asia",CMT Digital,,,No,AugieIlag,https://www.linkedin.com/in/aug78b4a431/,cmt.digital,https://consensus.coindesk.com/agenda/speaker/-augie-illag
Speaker,Muneeb Imtiaz,Consumer Cash & Payments Lead,Coinbase,,,No,https://x.com/immuneeb,https://www.linkedin.com/in/muneeb-imtiaz-1911024b/,,https://consensus.coindesk.com/agenda/speaker/-muneeb-imtiaz
Speaker,Guy Itzhaki,CEO,Fhenix,,,No,guyitz,linkedin.com/in/guy-itzhaki,fhenix.io,https://consensus.coindesk.com/agenda/speaker/-guy-itzhaki
Speaker,Xiao-Xiao J. Zhu,President,Jupiter,,,No,xxjzhu,https://www.linkedin.com/in/xiao-xiao-j-zhu-12078730/,jup.ag,https://consensus.coindesk.com/agenda/speaker/-xiao-xiao-j-zhu
Speaker,Dr. Sachin Jaitly,General Partner,Morgan Creek Digital,,,No,sjaitly,https://www.linkedin.com/in/sjaitly?utm_source=share_via&utm_content=profile&utm_medium=member_ios,https://www.morgancreekcap.com/morgan-creek-digital/,https://consensus.coindesk.com/agenda/speaker/-dr-sachin-jaitly
Speaker,Rytis Joseph Jan,Head of Web3,Xsolla,,,No,,https://www.linkedin.com/in/rytis-joseph-jan/,,https://consensus.coindesk.com/agenda/speaker/-rytis-joseph-jan
Speaker,Ubair Javaid,Founder and CEO,Nomyx,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-ubair-javaid
Speaker,Linda Jeng,Chief Legal & Policy Officer,Aave Labs,,,No,Lindajeng1,https://www.linkedin.com/in/linda-jeng-4682b3/,,https://consensus.coindesk.com/agenda/speaker/-linda-jeng
Speaker,Maurice Johnson,Partner,Lewis Brisbois Bisgaard & Smith LLP,,,No,,https://www.linkedin.com/in/maurice-johnson-809a4334,https://lewisbrisbois.com/attorneys/johnson-maurice,https://consensus.coindesk.com/agenda/speaker/-maurice-johnson
Speaker,Alexis Johnson,Co-Founder & CEO,Light Node Ventures,,,No,Pulchramens,https://www.linkedin.com/in/alexisjohnson92/,www.lightnodeventures.com,https://consensus.coindesk.com/agenda/speaker/-alexis-johnson
Speaker,David Johnston,Code Maintainer,Morpheus,,,No,DJohnstonEC,https://www.linkedin.com/in/davidajohnston/,https://mor.org/,https://consensus.coindesk.com/agenda/speaker/-david-johnston
Speaker,Anto Joseph,Principal Security Engineer,Eigen Labs,,,No,blocksec,https://www.linkedin.com/in/antojoseph,https://exp.hackintheblock.com/,https://consensus.coindesk.com/agenda/speaker/-anto-joseph
Speaker,Jolie Kahn,CEO,AVAX One,,,No,,https://www.linkedin.com/in/jolie-kahn-b108168/,https://avax-one.com/,https://consensus.coindesk.com/agenda/speaker/-jolie-kahn
Speaker,Elvie Kamalova,Founder,Blockstreet Capital,,,No,ElvieKamalova,https://www.linkedin.com/in/elvinak/,https://www.blockstreet.capital/,https://consensus.coindesk.com/agenda/speaker/-elvie-kamalova
Speaker,Anna  Kazlauskas,Co-Founder and CEO,Open Data Labs (creator of Vana),,,No,,,,https://consensus.coindesk.com/agenda/speaker/-anna-kazlauskas
Speaker,Marcin Kaźmierczak,Co-Founder,RedStone,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-marcin-kamierczak
Speaker,Anthony Kelani,"Director, Ecosystem Growth",Circle,,,No,akelani,https://linkedin.com/in/akelani,,https://consensus.coindesk.com/agenda/speaker/-anthony-kelani
Speaker,Carl Kennedy,"Partner and Co-Chair, Financial Markets and Regulation Practice Group",Katten Muchin Rosenman LLP,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-carl-kennedy
Speaker,Kara Kennedy,Global Co-Head of Kinexys,J.P. Morgan,,,No,,https://www.linkedin.com/in/karakennedy1,https://www.jpmorgan.com/kinexys/index,https://consensus.coindesk.com/agenda/speaker/-kara-kennedy
Speaker,Cole Kennelly,Founder & CEO,Volmex Labs,,,No,ColeGotTweets,https://www.linkedin.com/in/colekennelly,https://volmex.finance,https://consensus.coindesk.com/agenda/speaker/-cole-kennelly
Speaker,Ji Hun Kim,CEO,Crypto Council for Innovation,,,No,_jikim,https://www.linkedin.com/in/ji-hun-k-94568310/,https://cryptoforinnovation.org/,https://consensus.coindesk.com/agenda/speaker/-ji-hun-kim
Speaker,Katherine Kirkpatrick Bos,Starkware,General Counsel,,,No,kkirkbos,https://www.linkedin.com/in/katherine-kirkpatrick/,,https://consensus.coindesk.com/agenda/speaker/-katherine-kirkpatrick-bos
Speaker,Nicolas Kokkalis,Founder,Pi Network,,,No,,,minepi.com,https://consensus.coindesk.com/agenda/speaker/-nicolas-kokkalis
Speaker,Tomek Kowalski,Head of Crypto Accounting,CoinTracker,,,No,TheCrypto_CFO,https://www.linkedin.com/in/tomek-kowalski-125631293/,,https://consensus.coindesk.com/agenda/speaker/-tomek-kowalski
Speaker,Dr. Bernhard Kronfellner,Partner & AD,"Digital Assets, Blockchain, Frontier Tech",,,No,,https://www.linkedin.com/in/dr-bernhard-kronfellner-b27b19/,,https://consensus.coindesk.com/agenda/speaker/-dr-bernhard-kronfellner
Speaker,Rob Krugman,Chief Digital Officer,Broadridge,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-rob-krugman
Speaker,Chris Kuiper,VP Research Fidelity Digital Assets,Fidelity Digital Assets,,,No,https://x.com/ChrisJKuiper,https://www.linkedin.com/in/fidelitychriskuiper/,,https://consensus.coindesk.com/agenda/speaker/-chris-kuiper
Speaker,Erik LaPaglia,Managing Partner,NextTech Ventures,,,No,eriklapaglia,https://www.linkedin.com/in/eriklapaglia,,https://consensus.coindesk.com/agenda/speaker/-erik-lapaglia
Speaker,Dave  LaValle,President,CoinDesk Indices & Data,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-dave-lavalle
Speaker,Alex Leishman,CEO,River,,,No,leishman,,river.com,https://consensus.coindesk.com/agenda/speaker/-alex-leishman
Speaker,Jon Lerner,Co-Founder & CEO,CoinTracker,,,No,jon_lerner,https://www.linkedin.com/in/jonlerner,https://www.cointracker.io/,https://consensus.coindesk.com/agenda/speaker/-jon-lerner
