record_type,name,title,company,title_secondary,company_secondary,is_virtual_speaker,twitter,linkedin,website,profile_url
Speaker,Anthony  Pompliano,Chairman & CEO,ProCap Financial,,,No,APompliano,linkedin.com/in/anthonypompliano,www.procapfinancial.com,https://consensus.coindesk.com/agenda/speaker/-anthony-pompliano
Speaker,Tom Farley,CEO,Bullish,,,No,ThomasFarley,https://www.linkedin.com/in/thomas-farley-b9a806128/,,https://consensus.coindesk.com/agenda/speaker/-tom-farley
Speaker,Mayur Gupta,Chief Growth & Marketing Officer,Kraken,,,No,,https://www.linkedin.com/in/mayurgupta77/,,https://consensus.coindesk.com/agenda/speaker/-mayur-gupta
Speaker,Tom Lee,Fundstrat Capital: Chief Investment Officer and Portfolio Manager (NYSE: GRNY)  Fundstrat: Co-founder & Head of Research  Bitmine Immersion (NYSE: BMNR): Chairman of the Board,Fundstrat,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-tom-lee
Speaker,Johann Kerbrat,"Senior Vice President and General Manager, Crypto and International",Robinhood,,,No,JohannKerbrat,https://www.linkedin.com/in/johann-kerbrat-a19389b/,,https://consensus.coindesk.com/agenda/speaker/-johann-kerbrat
Speaker,Nathan McCauley,CEO & Co-Founder,Anchorage Digital,,,No,nathanmccauley,,anchorage.com,https://consensus.coindesk.com/agenda/speaker/-nathan-mccauley
Speaker,Carlos Domingo,Founder & CEO,Securitize,,,No,carlosdomingo,https://www.linkedin.com/in/carlosdomingo/,https://www.securitize.io,https://consensus.coindesk.com/agenda/speaker/-carlos-domingo
Speaker,Blue Macellari,Head of Digital Assets,T.Rowe Price,,,No,,https://www.linkedin.com/in/bluemacellari/,https://www.troweprice.com/en/us,https://consensus.coindesk.com/agenda/speaker/-blue-macellari
Speaker,Joseph Chalom,CEO,SharpLink,,,No,joechalom,josephchalom,sharplink.com,https://consensus.coindesk.com/agenda/speaker/-joseph-chalom
Speaker,Asher Genoot,Executive Chairman,American Bitcoin,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-asher-genoot
Speaker,Tal Cohen,President,NASDAQ,,,No,,https://www.linkedin.com/in/tal-cohen-85a2911/,,https://consensus.coindesk.com/agenda/speaker/-tal-cohen
Speaker,Haider Rafique,Global Managing Partner,OKX,,,No,https://x.com/Haider,,www.okx.com,https://consensus.coindesk.com/agenda/speaker/-haider-rafique
Speaker,Kash  Razzaghi,Chief Commercial Officer,Circle,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-kash-razzaghi
Speaker,Ryan  Rugg,"Global Head of Digital Assets, Treasury and Trade Solutions",Citi,,,No,,,https://www.linkedin.com/in/ryanrugg,https://consensus.coindesk.com/agenda/speaker/-ryan-rugg
Speaker,Grant  Cardone,Founder & CEO,Grant Cardone Enterprises,,,No,grantcardone,https://www.linkedin.com/in/grantcardone/,grantcardone.com,https://consensus.coindesk.com/agenda/speaker/-grant-cardone
Speaker,Paul Grewal,Chief Legal Officer,Coinbase,,,No,iampaulgrewal,https://www.linkedin.com/in/paul-grewal-288978b4,,https://consensus.coindesk.com/agenda/speaker/-paul-grewal
Speaker,Miles Jennings,Head of Policy & General Counsel,a16z crypto,,,No,milesjennings,,,https://consensus.coindesk.com/agenda/speaker/-miles-jennings
Speaker,Nadine Chakar,"Managing Director, Global Head of Digital Assets",DTCC,,,No,,,,https://consensus.coindesk.com/agenda/speaker/-nadine-chakar
