Conference,Name,Title,Company / Organization,Presenting Virtually,Photo URL,Source Page
2026 Toronto,Nisrine Labcir,Innovation Lead,Interac Corp.,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbd17870caaebc6ab9db3_NisrineLabcir_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Colin Sinclair,Chief Business Officer,Nirvana Finance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69db0d47d11a3f32e9473bc1_ColinSinclair_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Emanuel Toste,"Director, Experience Design – Wealth Management","Assisted Channels & AI‑Powered Experiences, BMO",,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69de347b2c421131dbfa21c7_EmanuelToste_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Wayne Chen,CEO,EukaPay,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90f034ba82fe2fe1092d7_WayneChen_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Marc Lafleur,"Founder, DB8 Labs",Guest Dragon on Dragon's Den,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69e23c6345f4e1a7f6d490d2_MarcLafleur_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Haymond Rankin,Associate Director - Banking,Fintech & Virtual Assets; Cayman Finance,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69fbbd09795cdc33d5a72836_HaymondRankin_SpeakerWebsite2026.webp,https://futuristconference.com/speakers
2026 Toronto,Christian Sauer,Founder,Soonami.io,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9046c47ef5531b6428b10_ChristianSauer_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Ashley Wright,Founder,The Crypto Strategy Academy,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d900649e49736e7f763f77_AshleyWright_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,"Timothy Darrah, PhD",Co-Founder & CEO,Mangrove,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90ea773130d43008ad31e_TimothyDarrah_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Charles Garrett,Founder,Peerfolio,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d9044c1333fbff38f42a8a_CharlesGarrett_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Anil Nadiminti,Sr. Solutions Architect,Amazon Web Service,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90428de78267e64c3b6e1_AnilNadiminti_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Didier Lavallée,Founder & CEO,Tetra Digital Group,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d905940aaa8eeb032bf1ce_DidierLavall%C3%A9e_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Todd Shapiro,"Co-Founder, CEO & Director",Red Light Holland,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d90eb53b6ac6a9437f5504_ToddShapiro_SpeakerWebsite2026.png,https://futuristconference.com/speakers
2026 Toronto,Eric Richmond,General Counsel and Head of Business Development,Shakepay,,https://cdn.prod.website-files.com/61e87bb144d08a09b725b693/69d907e78ede022d20f93bf7_EricRichmond_SpeakerWebsite2026.png,https://futuristconference.com/speakers
